Row number	Mongo ID	Author	Topic	Stance	Intended Fallacy	Voted Fallacy	Number of Votes	Text
330	a860e2096d64e9b6	6507b8197d662c55	Did Titanic really deserve 11 oscars at once?	pro	Appeal to Emotion	-	0	Definitely. There hadn't been such a touching movie for a long time. Plus, it's so heartbreaking, a true masterpiece of love..
331	b8464de641f8a08d	58acb7acccce58ff	Are single sex schools more effective than co-ed schools?	contra	No Fallacy	-	0	Single sex schools are not good.
332	7f4e3067e0c93f7f	44a77adabe1b2c2e	Do celebrities get away with more crime than non-celebrities?	pro	Hasty Generalization	-	2	Yes, the have money and that's pretty much all it takes to get away with a crime.
333	0dc949f872f2a7fe	b5d9b8b993b4de17	Is nuclear power a reasonable energy source?	pro	No Fallacy	-	1	Nuclear power is an incredibly reasonable power source granted it is used by people who are responsible. It's the most effective energy source in the world and incredibly clean.
334	e9d1744749022ba1	ef05e66e03b6a6ce	Is it effective to censor parts of the media?	pro	No Fallacy	-	1	Who controlls the controller?
335	d7ed1bc8d867f413	cc1eee636691c425	Should non-European immigrans in Europe be accepted?	contra	Red Herring	-	2	If we accept all the muslim immigrants, they will eventually change the entire religion landscape and I don't want to let them shut down the beautiful Christmas markets. Where would I meet with my friends then? In front of the Mosque?
336	d8f3093ea93badfc	29ec0e8906705e1d	Is global warming really an issue?	pro	No Fallacy	-	0	There is no denying tat CO2 Emissions and average temperature aof the atmosphere both have gone up, there are many studies on it.
337	84da298f2ed7eed7	cc600ff2cea4be17	Should countries adopt heavier penalties for drug use and drug trafficking?	pro	Irrelevant Authority	-	1	I heard a politiician on TV say that locking people up for drugs reduces crime.
338	3d51a6102b528a7d	82e9abd938ad0edd	Do social networking sites have a positive impact on society?	contra	No Fallacy	-	1	People become too involved with social media and fail to make real personal connections with others
339	89e9631b6128a7be	a86ff222c23bcd34	Do social networking sites have a positive impact on society?	pro	Appeal to Emotion	-	1	Because they post only useful information
340	3e17b4f89f8e730f	a4e787beb318beb2	Do celebrities get away with more crime than non-celebreties?	pro	Irrelevant Authority	-	1	Yes, yesterday i talked to my neighbour about it. She said that these celebrities can do what they want, because they are rich.
341	6f416828942a2b0a	e552fd13ce96dba9	Should animals have special rights?	pro	No Fallacy	No Fallacy	12	Animals have a conscious mind. That means they deserve protection through law, like humans do. Nevertheless they arent as intelligent as humans, thats why they need a special law.
342	5da0a90b726dffa8	d038663d70f77d9b	Should non-European immigrans in Europe be accepted?	contra	Irrelevant Authority	Irrelevant Authority	6	My mother says always that the non- European immigrans destroy our culture.
343	cc7512270a98284f	1c6c9e5e492c3075	Is there a good reason for the American war on terror?	contra	Appeal to Emotion	-	2	When we go to war, we kill children with drones and kill innocent civilians.
344	a88926c361a91cc6	d038663d70f77d9b	Heavy Metal is the best music ever!	contra	Appeal to Emotion	Appeal to Emotion	11	This kind of music ruins our good society.
345	415b4995b1a3e94b	6507b8197d662c55	Should the fight versus the Islamic State include military operations?	pro	Irrelevant Authority	-	2	I read many facebook posts and comments from people who "know stuff".. you know.. behind the curtains... definitely experts... and they agree on that unanimously!
346	548a4c2c487e4deb	f3a4cc4c49e1bc6b	Should economical growth always be the ultimate goal of every country?	pro	Ad Hominem	-	2	good life depends on the economy
347	832656a03ddc7753	0b106eb17fb9d269	The greek exit from the EU is a necessary step.	pro	Red Herring	-	1	I agree, they are lazy.  While at it remove Spain too.
348	c401815506c49104	f3a4cc4c49e1bc6b	Will flying cars ever become a reality?	contra	Ad Hominem	Red Herring	3	After hogans heroes bob crane had his skull bashed in by a friend video taping having rough sex
349	dd70c945f97fcb0b	94cb74b6db3721ac	Did Titanic really deserve 11 oscars at once?	pro	Appeal to Emotion	-	2	It did because many people were killed an this was sad!
350	314af35585eb266a	687bc594b0004f41	Is there a good reason for the American war on terror?	pro	Irrelevant Authority	-	2	Taliban, IIS etc should be destroyed from root.
351	86166c4cc46f9898	a86ff222c23bcd34	Is global warming really an issue?	pro	Irrelevant Authority	-	2	Because we have to save our country by avoiding pollution
352	779ea6c4ce70c03b	1c6c9e5e492c3075	Is tupac the most influential rapper in history?	contra	Ad Hominem	-	1	You have really bad taste in music if you think he is influential.
353	8f9b1c135194a9ea	d6189aaf089261cd	Should high schools provide daycare services for students who have children?	contra	Irrelevant Authority	-	0	My mother always told me that getting a child means you have to know how to look after it. A student should be able to think about it before and not have to ask for a special day care.
354	ae95f3414aacfed5	e91c6e687a5bdf6d	Is Turkey ready to join the European Union?	contra	Red Herring	Red Herring	6	With everything going on in European and Middle Eastern Countries I just don't think this is an important issue we should rush into.
355	3e4e81424c2cadf0	a8b6933302099f54	Do school uniforms make school a more effective place to learn?	contra	Red Herring	Red Herring	5	Uniforms are the first sign of oppression in society.
356	5718310902338b82	8451f9089b5797e2	Should smoking at home be illegal?	contra	Ad Hominem	No Fallacy	3	Being able to smoke at home should not be illegal as it is giving up your freedom.
357	f9d17ce2c7b3dc47	d75b483573d8c841	Should animals have special rights?	pro	Appeal to Emotion	-	0	Test for an Argument
358	f8dc4a0a6f5ae030	940b622f2bd8bae4	Is nuclear power a reasonable energy source?	contra	Red Herring	-	0	Nuclear bombs are able to devastate whole landscapes. We should not allow this.
359	7e1f31aebe63100e	3bd4d08f0a804087	Should musicians be payed for streaming music? (by Apple)	contra	Red Herring	-	2	majority of musicians and independent labels playing ball with the Apples, Googles and Spotifys of the world, as if their industry vision is the only way forward.
360	2185ec4f829d92e9	72b025c88512fb69	Has television destroyed the communication among friends and family?	contra	Ad Hominem	-	1	You are just dumb.
361	bd2a79ae38ece6ef	10b00c895c4783fc	Should we allow animal testing for medical purposes?	pro	Irrelevant Authority	-	2	It doesn't matter! Animals can't think for themselves.
362	80cb574481d72e92	97cfac2ddca81af3	Is Turkey ready to join the European Union?	pro	Hasty Generalization	-	2	just do better just gooooooooooooooooooooooooooooooooooooooooo
363	6107ccdaab171efa	108fa75ebc1161e5		pro	No Fallacy	-	1	There is a good reason
364	b6b7264b53c739d1	3837ca5e6dc31a1d	Is the oppression of women by men a serious problem?	pro	Red Herring	Red Herring	11	Yes, because the number of global conflicts are rising!
365	4ac85ee8c6b40bd2	3f4339e14df7d077	Should economical growth always be the ultimate goal of every country?	contra	Irrelevant Authority	Irrelevant Authority	6	My friend said, that human dignity is more important.
366	8e76456803288e06	cc1eee636691c425	Is nuclear power a reasonable energy source?	contra	Appeal to Emotion	-	0	You want to split atoms in half? This energy-source builds upon destruction. Try something peaceful, like solar energy.
367	b849044469908d9d	737a86a071cc43e3	Do celebrities get away with more crime than non-celebreties?	contra	Irrelevant Authority	-	1	In TV they said celebrities are treated better.
368	bbf86635af0c3251	0c001941629d3b98	Is the grading system used in high school effective?	contra	Ad Hominem	-	2	You're just a competitive idiot.
369	9957e02e98321095	a8b6933302099f54	Is the legality of abortion desirable?	contra	Appeal to Emotion	Appeal to Emotion	10	Dont abort, you will miss some cute baby-eyes.
370	725f092bf5e8f64e	3f4339e14df7d077	Do we need a global environment task force?	pro	Appeal to Emotion	Appeal to Emotion	7	Environment is the best thing we got. You can go into the forest, you can smell the leafs. You can get rid of bad thoughts when you wander around through nature. Everything has to be done to protect it. Also a global environment task force.
371	256faf762730b3f2	0b106eb17fb9d269	The greek exit from the EU is a necessary step.	pro	No Fallacy	-	1	I really don't think so
372	53a5e5db469d2a8b	44adbf7f57031bad	Are humans to blame for certain animal extinctions?	pro	Red Herring	-	1	High noon everyone is hungry.
373	ce98d3b140e7b99f	72b025c88512fb69	Do celebrities get away with more crime than non-celebreties?	contra	Ad Hominem	-	2	I think you have absolutely no idead, thats all.
374	5c29fc786a158a4b	e11a3962d5de1cde	Did media ignore crimes from refugees?	contra	Ad Hominem	-	2	I think you are a bit paranoid, aren't you?
375	7bf616b0f9debe82	72b025c88512fb69	The greek exit from the EU is a necessary step.	contra	Appeal to Emotion	-	1	We may not exclude greeks from our society. We have learned to love each other over generations, now you want a divorce?
376	1fa7ddf5ddbd0e1c	618963732785119d	Is Turkey ready to join the European Union?	contra	No Fallacy	-	0	Current civil unrest in Turkey is partly based on resentment of other European governments. Given the governments aren't getting along, it seems like Turkey isn't ready.
377	02f9eb04b3a2e591	5a95f2363e6767a8	Is it effective to censor parts of the media?	contra	Hasty Generalization	Hasty Generalization	10	Hitler censored media. Kim yong il censored media. Only bad people censor media.
378	d6519d224d104fd3	d87e1db64a396e0e	Is Neuer the best goalkeeper of the Soccer World Cup 2014?	contra	Red Herring	Red Herring	12	Soccer is a dumb sport, 22 grown up guys trying to get a ball. Why?
379	25c95cb4d628711a	d87e1db64a396e0e	Is it effective to censor parts of the media?	pro	Appeal to Emotion	Appeal to Emotion	7	Yes, the Bild-Zeitung had the Bild-Girl for a while on the cover page. Can you remember? It was a nude girl. A NUDE GIRL. My children could see this nude girl. MY CHILDREN! Now they took it away, because many people were against it. But it should have been censored earlier.
380	ca8bcd30e7d39b12	bd7260e6b5661e89	Should smoking at home be illegal?	contra	Ad Hominem	Ad Hominem	6	If you are dumb enough to want to kill yourself then why should I have to be around it?
381	c91a6d46e0dad53a	d87e1db64a396e0e	Is nuclear power a reasonable energy source?	contra	No Fallacy	No Fallacy	8	No,  its not worth the risk. So many people did already die because of radiation...
382	9f16a7372ab24cfd	c00c2a3d02b3f83b	Should animals have special rights?	pro	No Fallacy	-	0	If you don't allow animals to have rights, you shouldn't have them either.
383	73d0e1a09bd45336	cc1eee636691c425	Is the oppression of women by men a serious problem?	contra	Appeal to Emotion	-	0	How could someone oppress our women? They are our mothers, our lovers, our everything.. nobody would be so cruel.
384	7e0344fb4de2f40f	cc1eee636691c425	Is Neuer the best goalkeeper of the Soccer World Cup 2014?	contra	Hasty Generalization	Hasty Generalization	3	Oliver Kahn was definitly the best worldkeeper when he played. He was trained by the same person as Neuer. Therefore Neuer was the best goalkeeper 2014 as well.
385	69e81a7c3f17008a	1c6c9e5e492c3075	Do we need a global environment task force?	pro	Hasty Generalization	-	2	People throw garbage out their windows.  Everyone throwing garbage out their windows will pile up in the streets.
386	f63e3ec3a80d275c	e543d26851b20a04	Is Microsoft the new Apple?	pro	Red Herring	-	2	Apple has already succeeded when compared to Microsoft
387	9e9000ba01d3496c	bf2c988a9456f2b6	Should the fight versus the Islamic State include military operations?	pro	Irrelevant Authority	-	1	A good friend of mine explains day by dy why we absolutely should operate with military operations against the IS and he is absolutely right!
388	862febc2b0f1794a	10b00c895c4783fc	Should we allow animal testing for medical purposes?	pro	Hasty Generalization	-	2	Animals deserve to live, but humans are more important as a species therefore we can do whatever we want.
389	0ad6e0d5ad2c772b	5f5cc58869c9b2c2	Does school detention do any good in high school?	pro	Appeal to Emotion	-	1	Detention is good because it will make the student see the error of their ways. They will behave better when they know that bad behavior is punished.
390	c7b2154ac559d4e4	bf2c988a9456f2b6	Is Turkey ready to join the European Union?	contra	Appeal to Emotion	-	1	Cause the country is led by a dictator.
391	8a69abbf9d4cdb55	4991124a65f43eb5	Do celebrities get away with more crime than non-celebrities?	pro	No Fallacy	-	0	Of course they do.
392	0c19b32daa4fcd48	5b8c54821db79c51	Should musicians be payed for streaming music? (by Apple)	contra	Irrelevant Authority	-	1	My husband says the musicians earn enough. Why pay them extra?
393	a31174920104e3af	cc1eee636691c425	Do social networking sites have a positive impact on society?	pro	Hasty Generalization	-	1	They do have a positive impact on my son, he is more social now. Therefore they are good for society, too.
394	9e6c740e5a1b7bf1	94e53ef4660673f7	Has anyone been on the moon?	contra	Red Herring	-	2	well it is a lie. its in the conspiracy theories
395	66d52274e3159095	67545b322d5380dc	Do celebrities get away with more crime than non-celebreties?	contra	Appeal to Emotion	-	1	I like how celebrities are treated like non-celebrities when it comes to the law.
396	a43de51ba7d0a3d8	746e8956e70d2e67	Is global warming really an issue?	contra	Red Herring	-	1	Global warming isn't an issue or it would never snow.
397	2a30135f49181b84	5a95f2363e6767a8	Is the legality of abortion desirable?	pro	Red Herring	Ad Hominem	5	My stance is pro, not yours.
398	b8659020d4167b51	e543d26851b20a04	Should gorillas be held in zoos	contra	Appeal to Emotion	-	1	Gorillas are very huge creatures and it should not be kept anywhere
399	0a63a6f4b6d2b53a	cc1eee636691c425	The greek exit from the EU is a necessary step.	contra	Appeal to Emotion	Appeal to Emotion	3	If Greece leaves Europe, the IS or Russia will overtake the country which will lead to a new war!
400	9a670498fd6a284b	cc1eee636691c425	Is the grading system used in high school effective?	pro	Hasty Generalization	Hasty Generalization	10	I was at a normal school, and today i am studying. Obviously the grading system in high school was great.
401	2e6782387b3e86fc	c9245e9b4cb98c28	Should we allow animal testing for medical purposes?	pro	No Fallacy	-	1	We should allow animal testing for medical purposes.
402	af5e5eb44228e160	72b96b9113de0401		pro	No Fallacy	-	0	Democracy is good.
403	f9e8d6bdce1cf393	86f22901b28c445d	Is it effective to censor parts of the media?	pro	Ad Hominem	-	1	Anyone who doesn't want censoring must be a pervert.
404	6c9f77ddc73bc763	cc1eee636691c425	Did Titanic really deserve 11 oscars at once?	contra	Ad Hominem	Ad Hominem	8	You have obviously no idea of movies. Better get a bigger TV, maybe then you can see better what happens on the screen.
405	02b4e640e67a4ce2	d87e1db64a396e0e	Is nuclear power a reasonable energy source?	contra	Hasty Generalization	Hasty Generalization	5	But do you remember fukushima? It exploded. All nuclear reactors are potential bombs.
406	6c0f31f3c4cb5193	f725bd6af5949b46	Will flying cars ever become a reality?	pro	Irrelevant Authority	-	1	Well, I was watching Home, and in that movie, they had flying objects, as well. And she didn't die in the movie. Obviously then it's okay
407	08084a12abaf562b	e11a3962d5de1cde	Is veganism the best for our bodies?	contra	Appeal to Emotion	-	1	Don't you find it sad that people have to die earlier because they won't get the needed substances like non-vegan people? Think about those people!
408	6fd670d7b2fe692f	3f4339e14df7d077	Is Turkey ready to join the European Union?	pro	No Fallacy	No Fallacy	6	Putin has nothing to say regarding the EU. It is our choice who joins and who does not. I think the country is ready. We are neighbours, we share much culture and many people from Turkey do already live in european countries. They are ready.
409	fe4464e42344725f	4f2403c3823c39a3	Should gorillas be held in zoos	contra	No Fallacy	-	1	That Gorillas should be held in Zoos
410	9b1b83f4be2b9c6a	67545b322d5380dc	Should the price for milk be increased?	contra	Irrelevant Authority	-	2	no. Price of milk is already too high
411	149686a6efc74da1	d87e1db64a396e0e	Is plastic surgery an important field of medicine?	contra	Red Herring	Red Herring	5	Medicine needs more doctors like house MD.
412	eb4013e59d9a0f14	10b00c895c4783fc	Should cellphones be used during class?	contra	Ad Hominem	-	2	Classrooms are for learning not for talking on cellphones. Students should mute their phones during class if they really need to use them.
413	58b6ba5598368a8f	5f5cc58869c9b2c2	Should cellphones be used during class?	contra	Hasty Generalization	-	1	No cellphones shouldn't be used during class. Students will never listen to teachers and they will cheat on tests.
414	95e6719abf39a0c8	cc1eee636691c425	Should musicians be payed for streaming music? (by Apple)	contra	Appeal to Emotion	Appeal to Emotion	8	Please, Apple, don't pay any money to these so-called "musicians" - they are just rich cocain junkies, we don't want to support them  further...
415	c214aefe8115ddd8	cc1eee636691c425	Should non-European immigrans in Europe be accepted?	contra	Hasty Generalization	-	1	A police patrol just arrested two immigrants from Africa for breaking into a family house in Bayern. We MUST keep our borders closed  for these criminals.
416	96d8b0c6430f1f99	d038663d70f77d9b	Is global warming really an issue?	contra	No Fallacy	No Fallacy	6	I know that differences in global temperatures are  totally normal and have been happening for hundreds of thousands of years. This has never been a problem. Now it isnt one as well.
417	20b69caf86f6feb2	cc1eee636691c425	Should non-European immigrans in Europe be accepted?	pro	No Fallacy	-	1	Refugees mostly flee from the war, poverty or tyranny in their countries. Unless these problems are solved to some extent and they have some other safe place to reside in, except EU, they should be welcome.
418	fcb4b1d3edad9dba	687bc594b0004f41	Should computers be allowed in class rooms?	pro	Irrelevant Authority	-	2	Computers are unavoidable in present days!
419	f39aa3f48e8c0e45	8d9d122348e553ae	Should high schools provide daycare services for students who have children?	pro	Ad Hominem	No Fallacy	3	I think it would help those people get an education which would be good for their children.
420	8ffa6fa6de59e930	70b71e41cbf31e2a	Should we allow animal testing for medical purposes?	pro	No Fallacy	-	0	yes
421	77fb647fb5425021	cc1eee636691c425	Should musicians be payed for streaming music? (by Apple)	pro	Appeal to Emotion	-	1	Apple must pay the artist! You want them to do living for free and end up on the street while you're listening to their music from your brand new iShit?
422	a0ae9918cbdbe38d	ef05e66e03b6a6ce	Is television an effective tool in building the minds of children?	pro	No Fallacy	-	1	Well, depends on what is meant by "building the minds" - but in general, television is a really good tool for brainwashing the children, especially in early ages.
423	2b36d940a104f413	5a95f2363e6767a8	Should countries adopt heavier penalties for drug use and drug trafficking?	pro	Appeal to Emotion	Appeal to Emotion	6	I get mad when i think about all these poor guys on the street, having no home, no job, no family. All because they started taking drugs. Its so sad, we need heavier penalties.
424	6c8d5f2008f0ac21	609092249d4d1fee	Should countries adopt heavier penalties for drug use and drug trafficking?	contra	No Fallacy	No Fallacy	3	Rather than adopting stiffer penalties for drug use we should focus more on counseling. Drug trafficking is another story.
425	3307c6dc8b4bccf4	08584a18308caa3b	Should cellphones be used during class?	pro	Hasty Generalization	Hasty Generalization	3	You should be allowed to use cell phones because my friend had an emergency one time so all kids have emergencies.
426	79d8039dc9ffef34	cc1eee636691c425	Is it justified to develop nuclear energy for commercial use?	pro	Appeal to Emotion	Red Herring	4	i dont like nuclear energy...
427	03e69d97243f8d52	cc1eee636691c425	Is Microsoft the new Apple?	contra	Irrelevant Authority	-	1	But Steve jobs said: MICROSOFT IS THEEEEEEEE COMPANY. Microsoft, not apple.
428	215dc851d449f5fc	d038663d70f77d9b	Is nuclear power a reasonable energy source?	pro	Irrelevant Authority	Irrelevant Authority	9	Yes because my grandmother always tell me so.
429	a23474a3e210f4b4	d87e1db64a396e0e	Do we need a global environment task force?	contra	Ad Hominem	Ad Hominem	9	It is people like you who force us normal people into the dictatorship of unnecessary organizations.
430	b047d5db3872a152	44a77adabe1b2c2e	Has anyone been on the moon?	pro	Ad Hominem	Ad Hominem	3	Yes, we have proof and don't need some nuts saying otherwise.
431	bf8379e8ca2bdd02	70cae4f89a1de683	Will flying cars ever become a reality?	contra	Red Herring	-	1	There is lot of technological developments needed to implement this strategy.
432	ad77d68340fd5d82	0ec473be6979b78f	Does school detention do any good in high school?	pro	No Fallacy	-	1	Detention is effective because it forces kids to spend some time on homework, takes them away from friends who might be getting them in to trouble, and forces them to miss activities they might prefer to be at, so it deters repeat bad behavior.
433	800ca28362c88cf8	82e9abd938ad0edd	Is nuclear power a reasonable energy source?	contra	Ad Hominem	-	1	George Clooney says we'll destroy the planet with nuclear power plants
434	1bbe5c64c788d231	3606346815fd4d49	Is the oppression of women by men a serious problem?	pro	Appeal to Emotion	Appeal to Emotion	10	Of course! I mean, innocent women don't deserve such a bad men's attitude.
435	daffa71444c9ab56	e909c816360b1b1f	Is the Deutsche Post-strike justified?	contra	No Fallacy	-	1	It is not justified, they are being paid just fine.
436	476147ce1787bba6	cc1eee636691c425	Is plastic surgery an important field of medicine?	contra	Appeal to Emotion	-	1	All these women who are unsecure because of their small breasts and big asses. Life would be so much better without these chauvinist-plastic-"MD's"
437	789cc2fb64f103c7	5a95f2363e6767a8	Should high schools provide daycare services for students who have children?	pro	Ad Hominem	Ad Hominem	6	Im sure you have no children. That is the reason why you write something like this.
438	f93383d76617d1c8	72b96b9113de0401	Is the grading system used in high school effective?	contra	No Fallacy	-	0	Grade systems are useless.
439	6168407f9cfb5171	bd025e046d80cf76	Is plastic surgery an important field of medicine?	pro	Irrelevant Authority	-	1	My friend said that it is important for victims of disfiguration. Therefore, it is an important field of medicine.
440	6aa5213e7b3c7a71	5f5cc58869c9b2c2	Is the grading system used in high school effective?	contra	No Fallacy	-	1	High school is supposed to prepare you for real life. The way these standardized tests are graded does not do that.
441	6da0ae2ae2850684	d038663d70f77d9b	Should we all home school our kids?	contra	Appeal to Emotion	Appeal to Emotion	6	No or would you prefer to ruin their little lives.
442	70feb189e0c051c7	615715c8829db802	Should we allow animal testing for medical purposes?	contra	Appeal to Emotion	Appeal to Emotion	11	No, the cute little bunnies and sweet monkeys do not deserve to suffer!
443	cbda7e2200d3d3ae	cc1eee636691c425	Should we all home school our kids?	pro	Appeal to Emotion	-	1	Yes, dont give away your children to strangers. First: they cannot give as much love as a mother can give. Second: Dont trust strangers, they might be sexual criminals.
444	5a1f5368f28410c0	cc1eee636691c425	Do celebrities get away with more crime than non-celebreties?	pro	Red Herring	-	2	I think whatever celebrities do, no one should care. Most of them are totally awkward and do only want to get more money than they already have.
445	377bd88e44b3b2db	e11a3962d5de1cde	Is Apple's Swift the new star?	contra	Irrelevant Authority	-	1	My brother said that he hasn't heard of this language before. It is obviously bad.
446	a4723c02d0cdc49b	d87e1db64a396e0e	Should Christians accept same sex marriage?	contra	Appeal to Emotion	Appeal to Emotion	6	What is with good old man-woman love? It is the best existing thing. Did you ever feel it? It feels warm and right.  Everything else should not get accepted.
447	fd8c302b8ff2710a	b1c61b3ffc30b590	Should non-European immigrans in Europe be accepted?	contra	Appeal to Emotion	Red Herring	3	I ACTUALLY AGREE WITH YOU. I MEANT THAT I DID WANT EUROPE TO TAKE IMMIGRANTS.
448	88426c59c1313ed3	5a95f2363e6767a8	Is there a good reason for the American war on terror?	contra	Hasty Generalization	Hasty Generalization	6	Remember VIETNAM??? ALL THE NAPALM, ALL THESE BURNED PEOPLE. ??? CANT U REMEMBER?? It was such a crime. NO SUCH CRIME AGAIN!!!111
449	169e0c167a1e70d9	e11a3962d5de1cde	Is Christianity a peaceful religion?	pro	Irrelevant Authority	-	1	My christian friend is says that every christian is against any kind of violence. I trust his words.
450	615f13ef035937d1	3f4339e14df7d077	Has anyone been on the moon?	pro	Ad Hominem	Ad Hominem	6	You believe every retard on the internet, do you?
451	2685d575f7c5f43c	746e8956e70d2e67	Is Turkey ready to join the European Union?	pro	Ad Hominem	No Fallacy	4	Sure Turkey is ready to join the European Union.  It would be a good thing for them to unit with another country.
452	12bcbc2bd62a52a9	73f018b77d4513fb	Should computers be allowed in class rooms?	pro	No Fallacy	-	0	Computers should be allowed in class rooms.
453	42cf297986b8d354	58acb7acccce58ff	Are single sex schools more effective than co-ed schools?	contra	No Fallacy	-	0	Personally I’d go co-ed.
454	9d938d8cb4ee6682	cc1eee636691c425	Heavy Metal is the best music ever!	contra	Appeal to Emotion	-	1	Gangsta rap is the thing. Heavy metal is for old freaks, who want a love/peace-revolution. If you are as hard and street-proven as me, you think the same.
455	103a3e9bcc645d14	58acb7acccce58ff	Is nuclear power a reasonable energy source?	pro	No Fallacy	-	0	Alternative energy resources are too expensive.
456	693bc40589b75aa4	d038663d70f77d9b	Does Christiano Ronaldo deserve the title as worlds-greatest soccer-player?	pro	Ad Hominem	Ad Hominem	8	Are you dumb? This is no reason against the title as worlds-greatest soccer-player, it is completely off topic.
457	55fe361b84734593	a8b6933302099f54	Is television an effective tool in building the minds of children?	contra	Ad Hominem	Ad Hominem	11	You want to sit around and watch tv? Better get a job.
458	61eb978cfd7b9286	3f4339e14df7d077	Do school uniforms make school a more effective place to learn?	pro	Hasty Generalization	Hasty Generalization	5	Yes. Look at the english private schools,  they have uniforms and their students are the leders of the future.
459	5c14c510b02c695a	cf4fdc7d24f86b3c	Should the price for milk be increased?	contra	Ad Hominem	-	1	they should work on how to make their production efficient and competitive, so they can compete with other countries.
460	6ebad1664a2a7fda	4f2403c3823c39a3	Will flying cars ever become a reality?	pro	No Fallacy	-	2	That flying cars will become a reality
461	4569a6cc5d5ec02e	b1c61b3ffc30b590	Should marijuana be legalized for individual use due to health condition?	pro	Ad Hominem	Hasty Generalization	3	THAT IS TRUE, BUT DRUG ADDICTS ARE GOING TO GET MARIJUANA EITHER WAY. WE SHOULD HELP SICK PEOPLE.
462	1e8a06ce794fc0f2	58acb7acccce58ff	Are single sex schools more effective than co-ed schools?	contra	No Fallacy	-	0	Seriously, our society depends on us interacting with each, at the very least, since we each make up over half the damn species!
463	ea121419f7f13b19	3f4339e14df7d077	Is drug testing athletes justified?	pro	No Fallacy	No Fallacy	10	Yes, because drug-use in professional-sport is quite common. If we dont test for drugs now,  soon nobody will be able to take part there without taking drugs.
464	7469e03b4161c6f0	29ec0e8906705e1d	Is Christianity a peaceful religion?	pro	No Fallacy	-	0	The instructions given in the new testament, which christians should observe, are peaceful and focused on love.
465	a2cde92670930fa4	609092249d4d1fee	Should driving under the influence of alcohol be forbidden?	pro	Red Herring	Red Herring	3	Yes, but we also need to worry about people who don't wear seatbelts, since they cause health care rises to go up for everyone.
466	4f38a09d3ac420c8	3f4339e14df7d077	Is Apple's Swift the new star?	contra	Irrelevant Authority	-	1	But many guys from my programming-course say, that only C is the real programming-language and that Apples Swift is for hipsters only.
467	5f657f8c0fd3925e	e91c6e687a5bdf6d	Are Quentin Tarantinos movies too violent?	contra	Ad Hominem	Ad Hominem	3	If you think they're too violent, maybe you should go back to watching Disney movies because you can't handle the harsh reality of the world.
468	935c4ef58650b8c4	4a80840354d1491c	Should high schools provide daycare services for students who have children?	pro	No Fallacy	-	0	Yes, our society definitly wants students to have children, for two reasons: First: students are smart, therefore their children might be smart, too. Second: older women have higher risks at giving birth. Students have the perfect age.
469	ca2c189195b25f85	a86ff222c23bcd34	Should marijuana be legalized for individual use due to health condition?	pro	Appeal to Emotion	-	1	because due to health condition it can be legalized otherwise not
470	58e7515b41d11c46	72b96b9113de0401	Is nuclear power a reasonable energy source?	pro	No Fallacy	-	1	Nuclear energy should be invested in more.
471	bf791a2360cee38c	8451f9089b5797e2	Is drug testing athletes justified?	pro	Hasty Generalization	-	2	Depends how an athlete achieves the his best.
472	5b3e17d473d5c0f7	86f22901b28c445d	Has anyone been on the moon?	pro	Hasty Generalization	-	1	There must have been people on the moon because there are movies about it.
473	5f29584bc960fe51	eeed64535b5f7057	Should we allow animal testing for medical purposes?	pro	No Fallacy	-	0	It allows to get useful data for human research
474	7461538cbd2df777	eeed64535b5f7057	Should we allow animal testing for medical purposes?	pro	No Fallacy	-	1	Yes
475	a4b13fa98bf97078	4991124a65f43eb5	Are humans to blame for certain animal extinctions?	contra	No Fallacy	No Fallacy	8	We know that only the fittest can survive in this world.
476	2b91817dbb79ff5b	cc1eee636691c425	Is Apple the new Microsoft?	contra	No Fallacy	No Fallacy	6	I dont think thats the case. Both companies serve different types of customers. Microsoft creates operating-systems for the average pc-user whereas apple has specialized on products for Yuppies.
477	7703781c138e3ae3	aec020a546b05cf3	Should marijuana be legalized for individual use due to health condition?	pro	Appeal to Emotion	-	0	Of course, don't you want to live in a free world?
478	c96ce10cb9d9b358	74ab9166796523f1	Is the legality of assisted suicide desirable?	pro	Appeal to Emotion	-	1	How can people be so cruel enough to watch someone slowly die in terrible pain and suffering?
479	a1ac4a21de2f5b04	cc1eee636691c425	Do school uniforms make school a more effective place to learn?	pro	Hasty Generalization	Hasty Generalization	3	Uniforms are common in armies. They are totally usefull.
480	687d29c78719cbae	cc1eee636691c425	Do celebrities get away with more crime than non-celebreties?	pro	Hasty Generalization	-	2	I read in the newspaper, that OJ Simpson murdered his wife. He got away. Q.e.d.
481	f2dcc59c45903d80	5a95f2363e6767a8	Is Neuer the best goalkeeper of the Soccer World Cup 2014?	pro	Irrelevant Authority	Irrelevant Authority	6	Yes,  my soccer coach loves him.
482	2e5fd27668664268	cc1eee636691c425	Should we allow animal testing for medical purposes?	pro	Hasty Generalization	Hasty Generalization	6	Some people did already die because of medicine, which has not been tested on animals. All others who take such medicine will also die, if it stays illegal.
483	eec4057b7483bf17	cc1eee636691c425	Are single sex schools more effective than co-ed schools?	contra	No Fallacy	No Fallacy	7	Mixed schools are in the majority. And the rate of children getting parents is very low. You are just feared.
484	cd5b193c38971883	7ba31a64fee9d641	Is it beneficial for the development of young children to study together with people with mental handicaps?	contra	Ad Hominem	-	1	Their must be something wrong with you and your child.
